_ああいあうえあ	_a_a_i_a_u_e_a
_じぇじぇじゅじょじぇじょじょ	_je_je_ju_jo_je_jo_jo
_じょじゅんじゃんじゅ	_jo_ju_n_ja_n_ju
_んじんじぇんじょ	_n_ji_n_je_n_jo
_びゃびゃびびゃびゅびぇびゃ	_bya_bya_bi_bya_byu_bye_bya
_びびびゅびゃびぇびびぇ	_bi_bi_byu_bya_bye_bi_bye
_びゅびゅびびょびゃびょび	_byu_byu_bi_byo_bya_byo_bi
_びぇびぇびゅびょびぇびょびょ	_bye_bye_byu_byo_bye_byo_byo
_びょびゅんびゃんびゅ	_byo_byu_n_bya_n_byu
_んびんびぇんびょ	_n_bi_n_bye_n_byo
_ぴゃぴゃぴぴゃぴゅぴぇぴゃ	_pya_pya_pi_pya_pyu_pye_pya
_ぴぴぴゅぴゃぴぇぴぴぇ	_pi_pi_pyu_pya_pye_pi_pye
_ぴゅぴゅぴぴょぴゃぴょぴ	_pyu_pyu_pi_pyo_pya_pyo_pi
_ぴぇぴぇぴゅぴょぴぇぴょぴょ	_pye_pye_pyu_pyo_pye_pyo_pyo
_ぴょぴゅんぴゃんぴゅ	_pyo_pyu_n_pya_n_pyu
_んぴんぴぇんぴょ	_n_pi_n_pye_n_pyo
_ふぁふぁふぃふぁふふぇふぁ	_fa_fa_fi_fa_hu_fe_fa
_ふぃふぃふふぁふぇふぃふぇ	_fi_fi_hu_fa_fe_fi_fe
_ふふふぃふぉふぁふぉふぃ	_hu_hu_fi_fo_fa_fo_fi
_ふぇふぇふふぉふぇふぉふぉ	_fe_fe_hu_fo_fe_fo_fo
_ふぉんふぁんひぇんひょ	_fo_n_fa_n_hye_n_hyo
_んふぃんふぇんふぉ	_n_fi_n_fe_n_fo
_つぁつぁつぃつぁつつぇつぁ	_tsa_tsa_tsi_tsa_tsu_tse_tsa
_つぃつぃつつぁつぇつぃつぇ	_tsi_tsi_tsu_tsa_tse_tsi_tse
_つつつぃつぉつぁつぉつぃ	_tsu_tsu_tsi_tso_tsa_tso_tsi
_つぇつぇつつぉつぇつぉつぉ	_tse_tse_tsu_tso_tse_tso_tso
_つぉつんつぁんつ	_tso_tsu_n_tsa_n_tsu
_んつぃんつぇんつぉ	_n_tsi_n_tse_n_tso
_てゅてゅあてゅいてゅ	_tyu_tyu_a_tyu_i_tyu
_てゅえてゅおてゅんてゅ	_tyu_e_tyu_o_tyu_n_tyu
_でゅでゅあでゅいでゅ	_dyu_dyu_a_dyu_i_dyu
_でゅえでゅおでゅんでゅ	_dyu_e_dyu_o_dyu_n_dyu
_んにぇんにょんりぇ	_n_nye_n_nyo_n_rye
_んみぇんみょんりょ	_n_mye_n_myo_n_ryo
_くぁくぁくぃくぁくくぇくぁ	_kwa_kwa_kwi_kwa_ku_kwe_kwa
_くぃくぃくくぁくぇくぃくぇ	_kwi_kwi_ku_kwa_kwe_kwi_kwe
_くくくぃくぉくぁくぉくぃ	_ku_ku_kwi_kwo_kwa_kwo_kwi
_くぇくぇくくぉくぇくぉくぉ	_kwe_kwe_ku_kwo_kwe_kwo_kwo
_くぉんくぁんきぇんきょ	_kwo_n_kwa_n_kye_n_kyo
_んくぃんくぇんくぉ	_n_kwi_n_kwe_n_kwo
_ぐぁぐぁぐぃぐぁぐぐぇぐぁ	_gwa_gwa_gwi_gwa_gu_gwe_gwa
_ぐぃぐぃぐぐぁぐぇぐぃぐぇ	_gwi_gwi_gu_gwa_gwe_gwi_gwe
_ぐぐぐぃぐぉぐぁぐぉぐぃ	_gu_gu_gwi_gwo_gwa_gwo_gwi
_ぐぇぐぇぐぐぉぐぇぐぉぐぉ	_gwe_gwe_gu_gwo_gwe_gwo_gwo
_ぐぉんぐぁんぎぇんぎょ	_gwo_n_gwa_n_gye_n_gyo
_んぐぃんぐぇんぐぉ	_n_gwi_n_gwe_n_gwo
_ガガギガグゲガ	_nga_nga_ngi_nga_ngu_nge_nga
_ギギグガゲギゲ	_ngi_ngi_ngu_nga_nge_ngi_nge
_ググギゴガゴギ	_ngu_ngu_ngi_ngo_nga_ngo_ngi
_ゲゲグゴゲゴゴ	_nge_nge_ngu_ngo_nge_ngo_ngo
_ゴグんガんグん	_ngo_ngu_n_nga_n_ngu_n
_んギんゲんゴん	_n_ngi_n_nge_n_ngo_n
